Ion Number	Delta E (keV)	E_res (keV)
1	1330.09	9.59
2	1290.26	49.43
3	1300.05	29.70
4	1311.38	19.98
5	1311.47	9.93
6	1320.74	29.54
7	1301.68	29.53
8	1300.07	23.66
9	1301.05	19.78
10	1340.80	9.94
11	1320.10	29.90
12	1311.48	20.00
13	1321.10	9.90
14	1311.09	18.62
15	1311.16	19.65
16	1331.11	19.96
17	1300.65	39.98
19	1311.58	29.12
22	1311.47	19.78
23	1340.48	9.94
24	1301.11	29.84
26	1300.68	49.40
28	1300.29	29.59
29	1301.12	29.62
31	1310.43	29.93
32	1300.50	29.87
34	1320.51	19.70
35	1320.17	1.63
36	1331.00	9.90
37	1310.73	29.83
38	1310.77	29.75
39	1311.46	29.60
42	1290.85	39.62
43	1320.39	29.66
44	1280.62	39.42
45	1310.23	29.74
46	1330.72	9.90
48	1320.89	19.73
49	1340.27	19.80
50	1310.04	29.80
51	1320.49	9.84
52	1320.06	9.81
53	1290.92	39.96
54	1330.12	9.83
55	1310.81	19.76
56	1281.27	49.64
57	1320.79	19.96
58	1310.01	28.85
59	1321.33	29.92
62	1311.22	29.66
63	1310.11	19.93
64	1310.32	29.28
65	1320.90	29.99
66	1320.45	19.74
68	1320.00	9.82
69	1320.59	19.87
70	1290.89	39.51
72	1300.50	39.99
74	1320.91	29.79
75	1311.16	29.77
76	1320.74	9.79
77	1310.51	29.73
78	1311.01	19.88
79	1330.94	19.66
80	1330.44	19.81
81	1310.82	19.95
82	1320.08	24.88
83	1320.67	19.63
84	1290.39	39.95
85	1320.47	18.71
88	1320.64	5.76
90	1320.14	9.93
93	1330.01	9.87
95	1310.94	29.69
96	1320.05	19.96
100	1330.43	9.18
101	1310.85	29.90
103	1307.44	19.73
104	1321.35	19.96
105	1340.58	9.80
107	1310.84	19.78
108	1320.66	19.86
109	1311.54	29.57
110	1340.10	9.84
111	1320.12	29.97
112	1330.57	16.83
113	1330.71	9.98
114	1321.40	19.97
115	1330.32	10.00
116	1320.02	19.97
118	1330.54	9.88
119	1330.22	19.75
120	1300.44	29.76
122	1300.06	29.88
124	1290.99	39.56
125	1310.12	29.92
126	1310.76	19.90
128	1320.54	19.67
129	1310.34	19.70
130	1321.06	9.97
132	1320.70	19.87
133	1310.27	19.77
134	1300.16	29.83
139	1320.78	9.84
140	1310.41	29.84
142	1300.44	39.23
